system:index,countyears,cropland_mode,first,longitude,system:indexviejuno,.geo
2013_394,5.0,24.0,61,-103.67012027957759,13953.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.6701203,39.3083455]}"
2013_670,5.0,24.0,61,-103.71539536989722,23763.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.7153954,39.5387633]}"
2013_1940,5.0,24.0,24,-103.66958129040712,69882.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.6695813,39.5360684]}"
2013_1163,5.0,24.0,61,-103.88652443152199,41332.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.8865244,39.6325474]}"
2013_874,5.0,24.0,24,-103.76686883567727,31741.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.7668688,39.6484476]}"
2013_943,5.0,24.0,24,-103.59600926863773,34014.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.5960093,39.8737451]}"
2013_1592,5.0,24.0,61,-103.8461002437366,56803.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.8461002,40.0203501]}"
2013_783,5.0,24.0,61,-103.90296360122137,27911.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.9029636,39.8430227]}"
2013_321,5.0,24.0,61,-103.95847948577996,11368.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.9584795,39.8912622]}"
2013_1347,6.0,24.0,24,-104.13472894452421,48511.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.1347289,39.7818474]}"
2013_1082,5.0,24.0,61,-104.14389176042224,38547.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.1438918,39.9473171]}"
2013_1696,5.0,24.0,61,-104.19455674244657,60327.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.1945567,39.9669902]}"
2013_358,6.0,24.0,61,-104.22959103852723,12641.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.229591,40.0467606]}"
2013_626,5.0,24.0,61,-104.26085241041459,22288.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.2608524,40.0890713]}"
2013_1128,5.0,24.0,61,-103.55396811334094,40215.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.5539681,40.8202101]}"
2013_516,7.0,24.0,24,-104.16976324060487,18445.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.1697632,40.9651982]}"
